வார்த்தைகள்,எண்ணிக்கை
உருவி,2
அந்தத்,2
குலக்கதைகள்,2
மண்ணுக்கும்,2
ஆணைப்படி,2
மாட்டோம்,2
இன்னொரு,2
சர்ப்பசத்ர,2
நினைவுகூர்ந்தார்,2
முகத்தில்,2
பிறர்,2
இந்திரனை,2
வருணனே,2
முடியாது,2
என்றபடி,2
எங்கள்,2
படம்,2
விதை,2
தலையை,2
முளைத்த,2
வைசம்பாயனரை,2
இவன்,2
செய்தேன்,2
பிறந்தவன்,2
தொடங்கினர்,2
வழிவந்த,2
வேட்டையாடி,2
மலர்களாலும்,2
உணவும்,2
அவியாக்கப்பட்டன,2
விழுந்தபோது,2
அரண்மனையில்,2
நெருப்பை,2
அதிர்ந்து,2
உண்மை,2
மரீசியின்,2
செலுத்தி,2
மகளாகிய,2
அனைவரையும்,2
காட்டிலிருந்து,2
ஆனார்,2
ஆகுதியாக்கினர்,2
படர்ந்து,2
விழுந்த,2
வெல்லமுடியாத,2
சின்னஞ்சிறு,2
ஆனான்,2
வேள்விமண்டபத்தின்,2
வெளிவந்த,2
நகரமே,2
நிமித்திகன்,2
பூதயாகம்,2
குலத்தை,2
வாய்,2
அஸ்தினபுரியின்,2
அவனுடைய,2
தொடங்கின,2
புரிந்துகொண்டான்,2
ஆணையிட்டார்,2
அறிந்த,2
அமுதகலசச்,2
வாழ்க்கை,2
ஆகி,2
கனத்த,2
தீ,2
மன்னன்,2
படத்தின்மேல்,2
வியாசவனம்,2
சொல்லை,2
மேலெழுந்து,2
சற்று,2
இறங்கி,2
காலடியில்,2
உணர்ந்து,2
தேய்த்து,2
அவரும்,2
பாம்புகளாக,2
வேள்வியைத்,2
எதுவும்,2
வெண்ணிறமான,2
செய்திகேட்டு,2
குனிந்து,2
சமீகரின்,2
தலைவியான,2
காவியத்தின்,2
நாய்க்குட்டி,2
ஆகட்டும்,2
மக்கள்,2
பரீட்சித்தை,2
சற்றே,2
ஆண்டுகள்,2
சுடர்விடும்,2
மாயையால்,2
வென்ற,2
முதலில்,2
முற்றிலும்,2
உலகத்தில்,2
கோட்டை,2
உங்களுக்கு,2
மீதி,2
நைஷ்டிக,2
வரம்,2
புத்தம்புதிய,2
அதர்வ,2
வேள்வியின்,2
கிழக்கே,2
உடைத்தபோது,2
வைதிகர்கள்,2
அகங்காரத்தையும்,2
ஒன்றுடன்,2
மிருகங்களும்,2
கைகூப்பி,2
அமைச்சர்களும்,2
வலப்பக்கம்,2
கரங்களுடன்,2
சக்ரவர்த்தி,2
உன்னையும்,2
எடுத்துக்கொண்டு,2
விண்மீன்கள்,2
அசைவை,2
உடலை,2
சேதி,2
ஆலமரத்தடியில்,2
முதன்மை,2
ஒவ்வொருவர்,2
அழகிய,2
அவர்களில்,2
மண்ணுலகை,2
இருகைகளையும்,2
குன்றாத,2
நினைத்தேன்,2
சேவகன்,2
தட்சகியும்,2
தருணத்தில்,2
உணர்ந்தார்,2
ஒளியில்,2
தேடிவந்து,2
கன்னங்கரிய,2
ஒளிமிக்க,2
முனிவர்கள்,2
வைசம்பாயனரும்,2
உள்ளது,2
ஓடிவந்து,2
பீடத்தில்,2
முடிவில்லாத,2
கைகள்,2
குருஷேத்ர,2
நிறைத்திருக்கும்,2
மண்ணிலிறங்கிய,2
பெருகி,2
சூரியன்,2
விழுந்தது,2
பின்னகர்ந்து,2
புதர்களை,2
கைகளை,2
அவியளித்து,2
எழுந்தன,2
மண்ணிலும்,2
கோரினார்,2
சுற்றி,2
வேள்விச்சாலையில்,2
குலகுருவான,2
தெரியும்,2
பார்க்கும்,2
முடிக்கமுடியாது,2
மீதும்,2
வயிற்றில்,2
அளித்த,2
கடைசி,2
இந்தவேள்வியை,2
கட்டி,2
குணத்தை,2
நடந்தது,2
குருஷேத்ரக்,2
கலந்த,2
கரங்களை,2
வியாசரிடம்,2
பட்டத்தரசி,2
நிற்கிறான்,2
கணத்தில்,2
கண்களிலிருந்து,2
தழுவி,2
துதிக்கை,2
உடைந்த,2
ஆளும்,2
தமோ,2
அடைந்த,2
வலப்பக்கமாகச்,2
உன்னால்,2
மூன்று,2
சொல்லுங்கள்,2
அவர்களை,2
அணுகி,2
எஞ்சியிராத,1
நாகங்களையும்,1
மலர்ந்தபோது,1
குலவரலாறு,1
செருகிக்கொண்டான்,1
ரதமேறி,1
நாய்க்குட்டியைக்,1
மகளாக,1
வைக்கப்பட்டிருந்த,1
துழாவியும்,1
மரியாதை,1
கணவனை,1
அன்றைய,1
அமர்ந்துகொண்டான்,1
கடற்சிப்பி,1
நோன்புகள்,1
அந்தக்கணத்திலிருந்து,1
எதனால்,1
அவிபெற்று,1
கரியகாடொன்றின்,1
பிரபஞ்சப்பேரியக்கம்,1
உருவம்,1
தூபங்களும்,1
இறங்கிய,1
அமைச்சர்களிடம்,1
வாசுகியின்,1
வயிற்றில்தான்,1
கட்டைவிரலை,1
தன்னிலை,1
சந்திரனாகவும்,1
உள்கோட்டை,1
அகங்காரமாக,1
சென்றுசேர்வதாக,1
ஒட்டி,1
மோகத்தையும்,1
நம்பிக்கைத்துரோகம்,1
ஈன்றாள்,1
மூப்பை,1
தெறித்தபின்,1
இருந்தான்,1
பாரதத்தின்,1
பின்புதான்,1
கோரைப்புல்பாய்களாலும்,1
படுத்துக்கொண்டார்,1
தோண்டி,1
செய்யவேண்டுமென்று,1
வழக்கப்படி,1
ஆண்டுகளாக,1
வந்துசேரும்,1
அவள்தான்,1
சொல்கிறது,1
தலைமுறைக்காலமாக,1
கூப்பியபடி,1
தேசத்தைக்,1
காற்றிலாடி,1
ஆனது,1
சொல்லட்டும்இந்த,1
நிழல்களெல்லாம்,1
முற்றத்தைத்,1
சிம்மாசனத்தின்,1
கொண்டுவா,1
உயிருடனிருக்கிறதா,1
இரண்டாகப்,1
இளஞ்சூரிய,1
வாழ்க,1
நோக்கித்,1
பொசுங்கி,1
போலும்,1
சிலிர்த்து,1
மீன்கள்,1
நாகம்தான்,1
அதைசெய்கிறேன்,1
காஞ்சனம்,1
அரக்கும்,1
பெருகிக்கொண்டிருக்கும்,1
சரிந்துவிட்டார்,1
எஜமானராகிய,1
நீட்டினார்,1
அழியாது,1
பதுங்கியிருக்கும்,1
செடிகளில்,1
தங்கியிருந்தனர்,1
அமர்ந்துகொண்டனர்,1
அழிக்கப்பார்த்தாள்,1
கோட்டைக்கதவுகள்,1
கும்பம்,1
உருவிய,1
அனைத்துலகங்களையும்,1
வபுஷ்டையுடன்,1
தூங்கும்போதுகூட,1
நெருப்புக்கு,1
கோரிப்பெற்றேன்,1
செங்கோலைத்,1
அலைந்தான்,1
ஜகல்கௌரி,1
வேள்விசெய்து,1
காளிந்தி,1
ஆழத்தில்,1
பகடைகளை,1
பெருமூச்சு,1
முதற்பெரும்,1
அவருக்குள்,1
காமம்,1
உணர்ந்தனர்,1
குருதிமழையில்,1
பொருட்களையும்,1
இப்பிரபஞ்சத்தின்,1
சாமரவாலைச்,1
உள்ளங்களுக்குள்,1
காட்டில்,1
முழுமையாகவேண்டும்,1
சிறுவர்களாக,1
இருபது,1
காட்ட,1
ஞானத்தின்,1
ஏறும்,1
ஆகியது,1
செய்யமாட்டேன்உங்களுக்கு,1
ஆட்டத்தின்,1
சமீகர்,1
நீளம்கொண்ட,1
மணியும்,1
முடிவெடுத்தனர்,1
பாடல்கள்,1
அரசியான,1
வாதிட்டதாகவும்,1
கனவில்,1
கற்றுக்கொடுக்கப்பட்டாலும்,1
வீரணி,1
நூல்களும்,1
சுற்றப்பட்ட,1
எட்டுத்திசைகளிலும்,1
குருதித்திவலைகள்,1
அன்னத்தை,1
வழிபாடுகளை,1
விளையாடலுக்கு,1
இருக்கவில்லைகாலைவெயிலில்,1
தனித்திருக்கையில்,1
ஆணையிட்டான்,1
காட்டுமலர்களையும்,1
தழுவித்தழுவி,1
சக்தியை,1
வளர்ந்தது,1
நிலையற்று,1
அஸ்தினபுரியை,1
எழுந்தருளியது,1
தடுக்கவில்லை,1
சுழன்றுவந்தான்,1
எள்ளி,1
குறுகி,1
கடும்குளிர்,1
ஓங்காரமெழுப்பி,1
கைநீட்டி,1
நெறிநூல்களை,1
குண்டலங்களிலும்,1
படைப்பு,1
சிப்பிக்குள்,1
காரணமாக,1
அக்குளுக்குள்,1
கடந்து,1
புதர்,1
வேகமாக,1
ஓடி,1
அன்னமும்,1
பார்த்துக்கொண்டது,1
ஊகித்து,1
திறக்கும்,1
குருவம்சத்தினருக்கும்,1
அக்கினிக்கு,1
கிளம்பிச்சென்று,1
வளர்த்தேன்,1
வைதிகர்களையும்,1
வாய்க்குள்,1
இமையத்தின்,1
மங்கலவாத்தியக்குழு,1
நிலத்தை,1
வல்லமையாக,1
பழக்கியபோது,1
அவருக்கான,1
பாதாளத்திலும்,1
மழை,1
நின்றது,1
கடைசிச்சொல்லாகவும்,1
எழுந்தாடிக்கொண்டிருந்தது,1
மாணவர்களான,1
வில்லென,1
